sep=, 
LeftHandState, LeftHandTrackingConfidence, RightHandState, RightHandTrackingConfidence, TrackingState, TrackingID, Joint0, Joint1, Joint2, Joint3, Joint4, Joint5, Joint6, Joint7, Joint8, Joint9, Joint10, Joint11, Joint12, Joint13, Joint14, Joint15, Joint16, Joint17, Joint18, Joint19, Joint20, Joint21, Joint22, Joint23, Joint24, JointOrientation0, JointOrientation1, JointOrientation2, JointOrientation3, JointOrientation4, JointOrientation5, JointOrientation6, JointOrientation7, JointOrientation8, JointOrientation9, JointOrientation10, JointOrientation11, JointOrientation12, JointOrientation13, JointOrientation14, JointOrientation15, JointOrientation16, JointOrientation17, JointOrientation18, JointOrientation19, JointOrientation20, JointOrientation21, JointOrientation22, JointOrientation23, JointOrientation24
1, 1, 0, 0, 1, 72057594037940400, 0 -0.252037674 0.368333459 2.3457346 2, 1 -0.252059788 0.692154348 2.3364079 2, 2 -0.251026362 1.00237429 2.31568432 2, 3 -0.221841365 1.13723624 2.29580402 2, 4 -0.411603153 0.87566632 2.30166936 2, 5 -0.466234744 0.627372324 2.31843519 2, 6 -0.441488981 0.372832716 2.26010132 2, 7 -0.427151352 0.318755478 2.25912285 2, 8 -0.064880684 0.875338435 2.32669258 2, 9 0.10400492 0.711834908 2.30788231 2, 10 0.281329364 0.571682632 2.26138616 2, 11 0.355974376 0.501381099 2.23898625 2, 12 -0.324555993 0.36289382 2.29491782 2, 13 -0.314977378 0.0362644196 2.3487792 2, 14 -0.294714153 -0.352951258 2.41767454 2, 15 -0.312758446 -0.443381995 2.33234811 2, 16 -0.171437025 0.361910999 2.32020783 2, 17 -0.142043471 0.0235296991 2.33489609 2, 18 -0.139384985 -0.352297038 2.40664887 2, 19 -0.11558149 -0.448682308 2.31831408 2, 20 -0.25151071 0.926753104 2.32296968 2, 21 -0.426302999 0.244509518 2.25927973 2, 22 -0.472911537 0.293625146 2.25900006 2, 23 0.418702394 0.460375965 2.21681762 2, 24 0.355390787 0.441967458 2.23362231 2, 0 0.0816184059 -0.00120916369 0.99655968 -0.0143457055, 1 0.0597999431 -0.00089507387 0.998106599 -0.0143687222, 2 0.0375617258 0.00138391822 0.998135626 -0.0480887406, 3 0 0 0 0, 4 -0.0290152077 0.803931832 -0.590222239 0.0670038313, 5 -0.00939481333 0.922324955 -0.112475552 -0.369564205, 6 0.0261697434 -0.575058341 -0.118841618 0.809011579, 7 -0.0984258056 -0.591646671 -0.0841705427 0.795727253, 8 0.018070681 0.795431554 0.605722904 -0.00785831828, 9 -0.367165416 0.413292259 0.136068732 0.822109699, 10 -0.326183885 -0.419501334 -0.299873173 0.792274356, 11 -0.290657878 -0.423674762 -0.283921063 0.809571803, 12 -0.198523015 0.692114115 -0.655691743 0.227233559, 13 0.0715290308 0.758666754 -0.0418624505 -0.646185637, 14 -0.0747112185 -0.622698247 0.0521317609 0.777140498, 15 0 0 0 0, 16 -0.0947134942 0.723203301 0.673169017 -0.12185999, 17 -0.0189779382 0.646749496 0.0445054658 0.761166334, 18 0.0562490709 0.623332262 0.0756221563 0.776256621, 19 0 0 0 0, 20 0.03754545 9.35329008e-005 0.998884737 -0.0286293607, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
1, 1, 0, 0, 1, 72057594037940400, 0 -0.252243996 0.368382484 2.34573531 2, 1 -0.252079755 0.69215852 2.33640409 2, 2 -0.250986159 1.00236428 2.31567979 2, 3 -0.221974939 1.13722217 2.2958374 2, 4 -0.411674351 0.875721812 2.30170655 2, 5 -0.466234654 0.627382338 2.31845021 2, 6 -0.441495478 0.372812808 2.26011539 2, 7 -0.427561134 0.317400962 2.25926852 2, 8 -0.0649433583 0.875324845 2.32660389 2, 9 0.104191735 0.711730838 2.30773187 2, 10 0.28136009 0.571709275 2.26136065 2, 11 0.355282933 0.501515806 2.23853469 2, 12 -0.324777842 0.362953514 2.29496455 2, 13 -0.314963192 0.0358891524 2.3489759 2, 14 -0.294914961 -0.35329777 2.41790771 2, 15 -0.312712908 -0.443231672 2.33244801 2, 16 -0.17161794 0.361939728 2.32015204 2, 17 -0.142078057 0.0249973591 2.33434391 2, 18 -0.139110833 -0.352306247 2.40680385 2, 19 -0.11613176 -0.44877699 2.31879354 2, 20 -0.251496285 0.92674917 2.32296634 2, 21 -0.418657839 0.232185066 2.26592946 2, 22 -0.471301496 0.302535653 2.25498152 2, 23 0.418974459 0.460673124 2.21826291 2, 24 0.355122626 0.442203075 2.23382831 2, 0 0.0812732726 -0.000918189646 0.996587694 -0.0143784573, 1 0.059536092 -0.000604632893 0.998122156 -0.0143950526, 2 0.0373745635 0.00156249723 0.998141527 -0.048106391, 3 0 0 0 0, 4 -0.028921172 0.803801239 -0.590418994 0.0668769553, 5 -0.0094009703 0.922279239 -0.112312742 -0.369727671, 6 0.0301348772 -0.601777196 -0.117881261 0.789341569, 7 -0.0914682373 -0.618100643 -0.0823625997 0.77640295, 8 0.0179259181 0.795477211 0.605665088 -0.00802834518, 9 -0.367391199 0.413280368 0.136084557 0.822012126, 10 -0.322216511 -0.430199057 -0.304112017 0.786524773, 11 -0.283945203 -0.43383041 -0.28880021 0.804835796, 12 -0.198247731 0.6920982 -0.655817032 0.227160364, 13 0.0718178302 0.758388817 -0.0417098925 -0.64648968, 14 -0.0746153891 -0.623918474 0.0522256084 0.776164055, 15 0 0 0 0, 16 -0.0949404985 0.72324723 0.673062384 -0.122011386, 17 -0.0196844824 0.646995485 0.0442821942 0.760952353, 18 0.0565778464 0.626288831 0.0760698542 0.77380532, 19 0 0 0 0, 20 0.037354894 0.000172196116 0.998891771 -0.0286320448, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
1, 1, 0, 0, 1, 72057594037940400, 0 -0.25222975 0.368437171 2.34577322 2, 1 -0.252043456 0.692220926 2.33637476 2, 2 -0.250875652 1.00247014 2.31554151 2, 3 -0.222120062 1.13731015 2.29567742 2, 4 -0.411711842 0.875764906 2.30173588 2, 5 -0.466217607 0.627333403 2.3184762 2, 6 -0.441548884 0.372689456 2.26014662 2, 7 -0.426751822 0.319151103 2.25923014 2, 8 -0.0649605915 0.875357211 2.32660866 2, 9 0.104181029 0.711758018 2.30773306 2, 10 0.281349272 0.571781814 2.2613287 2, 11 0.356074244 0.500897527 2.23893213 2, 12 -0.324744225 0.363007665 2.29511142 2, 13 -0.315127015 0.0362017415 2.34880447 2, 14 -0.29510206 -0.35392198 2.41793561 2, 15 -0.312701344 -0.443229735 2.33244109 2, 16 -0.171604306 0.362017453 2.3201189 2, 17 -0.142303765 0.0271778796 2.33335495 2, 18 -0.140104294 -0.352217406 2.40678191 2, 19 -0.117760412 -0.448127598 2.32040334 2, 20 -0.251407266 0.926842332 2.32285857 2, 21 -0.423726678 0.239774331 2.26416969 2, 22 -0.466988146 0.308187455 2.24485159 2, 23 0.420009315 0.461193293 2.21270323 2, 24 0.356184572 0.4445315 2.23794889 2, 0 0.0807149261 -0.000884554232 0.996631563 -0.0144847631, 1 0.0592155531 -0.000572155404 0.998139799 -0.0145004652, 2 0.0372969769 0.00169986603 0.998134673 -0.0483029857, 3 0 0 0 0, 4 -0.0284743235 0.803840637 -0.590404093 0.066726774, 5 -0.00940467604 0.922160029 -0.112170838 -0.370067924, 6 0.0333341323 -0.622460783 -0.116919823 0.773150086, 7 -0.0970522985 -0.641456068 -0.0933513492 0.755248606, 8 0.0182600729 0.795612693 0.605477691 -0.00798682682, 9 -0.367403299 0.413231909 0.13605769 0.822035551, 10 -0.363365442 -0.310145557 -0.253661096 0.841089308, 11 -0.324712098 -0.31205368 -0.24147816 0.859577179, 12 -0.19787851 0.692192793 -0.655905724 0.226938188, 13 0.0713002905 0.758079052 -0.0416998118 -0.646910787, 14 -0.0746286064 -0.624772668 0.0522328392 0.775474906, 15 0 0 0 0, 16 -0.0951674134 0.723090649 0.673137486 -0.122347549, 17 -0.0204380043 0.647399366 0.0432602577 0.760647655, 18 0.0578607731 0.626650631 0.0759545788 0.773428679, 19 0 0 0 0, 20 0.0372778699 0.000280281354 0.998889863 -0.0287988894, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
1, 1, 0, 0, 1, 72057594037940400, 0 -0.252308756 0.368567467 2.34583068 2, 1 -0.252048284 0.692231596 2.3363812 2, 2 -0.250848413 1.00244427 2.31554127 2, 3 -0.222089037 1.13737535 2.29570746 2, 4 -0.411809176 0.875821292 2.30177379 2, 5 -0.466537267 0.628111184 2.31856465 2, 6 -0.441504657 0.37254402 2.26006556 2, 7 -0.427004069 0.319098771 2.25840712 2, 8 -0.0649648309 0.875411928 2.32661366 2, 9 0.104048789 0.711948693 2.30759001 2, 10 0.281422764 0.571798086 2.26116419 2, 11 0.356146753 0.50128907 2.23773217 2, 12 -0.324784815 0.363079906 2.29513884 2, 13 -0.314804971 0.0367848724 2.34833026 2, 14 -0.295146018 -0.353796095 2.41806984 2, 15 -0.312723756 -0.443173409 2.33250618 2, 16 -0.17171447 0.362190783 2.32019353 2, 17 -0.142355919 0.0264882836 2.33363414 2, 18 -0.13974911 -0.352620572 2.40676856 2, 19 -0.117799863 -0.44813785 2.32040071 2, 20 -0.251395106 0.926832676 2.32285953 2, 21 -0.428330779 0.244376898 2.25806785 2, 22 -0.469963908 0.313579321 2.25169253 2, 23 0.418365538 0.460003018 2.2150414 2, 24 0.355197638 0.442411989 2.2346909 2, 0 0.0809107572 -0.000779923692 0.996614397 -0.0145776942, 1 0.0592812523 -0.000463639124 0.998134553 -0.0145911779, 2 0.0372302681 0.00180245901 0.998135924 -0.0483246073, 3 0 0 0 0, 4 -0.0283515006 0.803682923 -0.590634167 0.0666419566, 5 -0.00929635298 0.922748923 -0.112930797 -0.368367463, 6 0.0295414384 -0.600305259 -0.118064962 0.790456593, 7 -0.0938412324 -0.617748976 -0.0941052213 0.775064051, 8 0.0183006637 0.795522034 0.605595171 -0.00801584963, 9 -0.367748976 0.412144929 0.135241032 0.822561324, 10 -0.330603898 -0.408101231 -0.295050234 0.798185289, 11 -0.292189538 -0.410052031 -0.282963574 0.816341937, 12 -0.197899431 0.692320526 -0.655646861 0.227278218, 13 0.071205914 0.758215487 -0.0408466123 -0.646815658, 14 -0.0746886805 -0.625262916 0.0530036688 0.775021613, 15 0 0 0 0, 16 -0.095131062 0.722930431 0.673318505 -0.122326754, 17 -0.0202620495 0.647256017 0.0434318334 0.760764599, 18 0.0574198402 0.628313541 0.0759340376 0.772113442, 19 0 0 0 0, 20 0.0372087434 0.000317997677 0.99889195 -0.0288143326, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
1, 1, 0, 0, 1, 72057594037940400, 0 -0.252298951 0.368602216 2.34580374 2, 1 -0.252041399 0.692329228 2.33629537 2, 2 -0.250834256 1.00261056 2.31540942 2, 3 -0.222059473 1.13743412 2.2956996 2, 4 -0.411840081 0.875918031 2.30180812 2, 5 -0.466516405 0.628048539 2.31858873 2, 6 -0.441398263 0.372903585 2.25994921 2, 7 -0.426104337 0.31671977 2.25829077 2, 8 -0.0649529845 0.875398278 2.32654524 2, 9 0.104015425 0.712020993 2.30729723 2, 10 0.281568438 0.571748018 2.26098919 2, 11 0.355914772 0.501228809 2.23694253 2, 12 -0.324782997 0.363091528 2.29513574 2, 13 -0.314917892 0.0370212831 2.3482337 2, 14 -0.295180142 -0.354115903 2.41807699 2, 15 -0.312633127 -0.44300127 2.33247638 2, 16 -0.171684533 0.362255156 2.32010579 2, 17 -0.142340064 0.0256342273 2.33390331 2, 18 -0.139619619 -0.352562606 2.4066422 2, 19 -0.116653621 -0.448329329 2.31934738 2, 20 -0.251381606 0.926979065 2.32273602 2, 21 -0.423564762 0.236359894 2.26414466 2, 22 -0.470577955 0.301448137 2.25301313 2, 23 0.419518918 0.460640401 2.21007943 2, 24 0.355631888 0.44207418 2.23407316 2, 0 0.0806319863 -0.000787520956 0.996635735 -0.0146652898, 1 0.0590529256 -0.000470082945 0.998146832 -0.0146788936, 2 0.0370525047 0.00181285106 0.998140574 -0.0483663604, 3 0 0 0 0, 4 -0.0279537402 0.803775251 -0.590557337 0.0663768426, 5 -0.009337998 0.922550499 -0.112756804 -0.368916363, 6 0.028664818 -0.593907237 -0.118785486 0.795199692, 7 -0.0953947157 -0.611335695 -0.0930080116 0.780075729, 8 0.0184600502 0.79576385 0.60527271 -0.00800530892, 9 -0.368421525 0.409655154 0.133674532 0.823759317, 10 -0.348146915 -0.358841687 -0.274098396 0.821520805, 11 -0.306576729 -0.358149678 -0.26649189 0.840667367, 12 -0.197735786 0.692421794 -0.655595183 0.227261111, 13 0.071025379 0.758054078 -0.0409348495 -0.647019088, 14 -0.0747741312 -0.625737488 0.052921474 0.774635792, 15 0 0 0 0, 16 -0.0953002498 0.722754717 0.673435807 -0.122587323, 17 -0.0198351964 0.647482455 0.0437077247 0.760567427, 18 0.0568430088 0.625484765 0.0760262981 0.774440229, 19 0 0 0 0, 20 0.0370312333 0.000334147539 0.99889642 -0.0288887415, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
1, 1, 0, 0, 1, 72057594037940400, 0 -0.252283275 0.368609905 2.34578109 2, 1 -0.252080023 0.692326069 2.33623266 2, 2 -0.25097236 1.00257552 2.31529641 2, 3 -0.222093493 1.13749266 2.29572797 2, 4 -0.412000954 0.875828326 2.30185199 2, 5 -0.466410428 0.628042221 2.31861782 2, 6 -0.440900803 0.371786505 2.25944042 2, 7 -0.426032633 0.318255663 2.25765848 2, 8 -0.0649601892 0.875403762 2.32648325 2, 9 0.104000486 0.712082326 2.30704951 2, 10 0.281593591 0.571738839 2.26087141 2, 11 0.355876595 0.501601517 2.2367568 2, 12 -0.324772477 0.363083124 2.29512954 2, 13 -0.314711004 0.0365688875 2.3483088 2, 14 -0.295229018 -0.354844987 2.4178462 2, 15 -0.312586665 -0.443210572 2.33229709 2, 16 -0.171652585 0.36229223 2.32003069 2, 17 -0.142273784 0.0273262057 2.33311772 2, 18 -0.139762297 -0.35271135 2.40664339 2, 19 -0.114303321 -0.448816299 2.31553221 2, 20 -0.251488954 0.926952302 2.32263327 2, 21 -0.418980122 0.238116145 2.26005936 2, 22 -0.469808459 0.307789862 2.25285482 2, 23 0.419735879 0.460874736 2.21120477 2, 24 0.357435793 0.442555279 2.23234892 2, 0 0.0804050863 -0.000872751407 0.996653199 -0.0147208245, 1 0.0588524342 -0.000554486702 0.99815774 -0.0147362435, 2 0.0368792377 0.00161643687 0.99814415 -0.0484309532, 3 0 0 0 0, 4 -0.0275745206 0.803882003 -0.590456903 0.0661361367, 5 -0.00926092453 0.922311902 -0.112304345 -0.369652182, 6 0.0285486914 -0.593856215 -0.119508542 0.79513365, 7 -0.0962058231 -0.611653268 -0.0960708112 0.779355645, 8 0.0186216198 0.795672715 0.605386972 -0.00804686733, 9 -0.368929803 0.407951981 0.132551774 0.824558139, 10 -0.341781497 -0.377949566 -0.281836152 0.812962472, 11 -0.300897866 -0.377185494 -0.274550766 0.831753194, 12 -0.197652295 0.692502022 -0.655549943 0.227219775, 13 0.0712051243 0.757898867 -0.0407487825 -0.647192955, 14 -0.0742710829 -0.626245379 0.0527483225 0.774285555, 15 0 0 0 0, 16 -0.095442459 0.72258687 0.673553646 -0.122818522, 17 -0.0206495579 0.647629619 0.0431568548 0.760451734, 18 0.0568346456 0.619596779 0.076700747 0.779093444, 19 0 0 0 0, 20 0.0368573815 0.000189890372 0.998900473 -0.0289711803, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
1, 1, 0, 0, 1, 72057594037940400, 0 -0.252262771 0.368638456 2.34580803 2, 1 -0.252064407 0.692321479 2.33622146 2, 2 -0.250915796 1.00249553 2.31520557 2, 3 -0.222085461 1.13744628 2.29572272 2, 4 -0.412016511 0.875820696 2.30186725 2, 5 -0.466414183 0.628255367 2.3188076 2, 6 -0.440838516 0.371524841 2.25939083 2, 7 -0.426414341 0.317313582 2.25926232 2, 8 -0.0649726689 0.875457346 2.32649279 2, 9 0.104065157 0.71205312 2.3069973 2, 10 0.28165704 0.571729541 2.26075363 2, 11 0.35520342 0.502212584 2.2378788 2, 12 -0.324736685 0.363123327 2.29524159 2, 13 -0.314773142 0.0366487317 2.34834027 2, 14 -0.294392586 -0.352264702 2.41792631 2, 15 -0.312659502 -0.443172246 2.33292794 2, 16 -0.171630248 0.362319291 2.32001209 2, 17 -0.142558917 0.0259141847 2.33392882 2, 18 -0.139390379 -0.350779444 2.40703845 2, 19 -0.114253178 -0.448359907 2.31611419 2, 20 -0.251443118 0.926896274 2.32256532 2, 21 -0.418863624 0.236465126 2.26620197 2, 22 -0.470164061 0.298500925 2.25469065 2, 23 0.419706494 0.46084699 2.21108031 2, 24 0.355692744 0.442088068 2.2342236 2, 0 0.0799958184 -0.000879030151 0.996685147 -0.0147807626, 1 0.0586320683 -0.000562277739 0.998169839 -0.0147961993, 2 0.0368541144 0.00168320665 0.998136878 -0.0485984087, 3 0 0 0 0, 4 -0.0272855759 0.803779483 -0.590616047 0.066081062, 5 -0.00903947931 0.921963155 -0.112496555 -0.37046811, 6 0.028354032 -0.591770709 -0.119791314 0.796651483, 7 -0.101584911 -0.609259665 -0.0805792361 0.782297969, 8 0.0188805554 0.795530975 0.60556525 -0.00804250408, 9 -0.368969887 0.407937497 0.132429987 0.824566841, 10 -0.344376951 -0.370221764 -0.278736293 0.816484213, 11 -0.305330038 -0.371468186 -0.267891109 0.834876835, 12 -0.197401047 0.69253993 -0.655659258 0.227007434, 13 0.0710108951 0.75765419 -0.0408164449 -0.647496462, 14 -0.0753400624 -0.621553183 0.0528555214 0.777947128, 15 0 0 0 0, 16 -0.0955740213 0.722550035 0.673533618 -0.123042934, 17 -0.0193979852 0.647981167 0.0436221063 0.760158718, 18 0.0564997979 0.621369481 0.0773534104 0.777640104, 19 0 0 0 0, 20 0.0368330814 0.000250467594 0.998897552 -0.029100284, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
1, 1, 0, 0, 1, 72057594037940400, 0 -0.252311319 0.368716449 2.34590483 2, 1 -0.252069503 0.692327201 2.33623934 2, 2 -0.25090009 1.00247252 2.31521368 2, 3 -0.222165063 1.13742352 2.29560351 2, 4 -0.412030518 0.875960052 2.30204034 2, 5 -0.466245234 0.627771676 2.31884861 2, 6 -0.440864205 0.371377707 2.25946736 2, 7 -0.426237673 0.317740232 2.25979519 2, 8 -0.0649738684 0.875480592 2.32649922 2, 9 0.104200125 0.712070763 2.30693173 2, 10 0.281664848 0.57174474 2.26075053 2, 11 0.356650561 0.501667142 2.23808956 2, 12 -0.324819297 0.363216937 2.2954824 2, 13 -0.314795732 0.0367256887 2.34836721 2, 14 -0.294453204 -0.352331787 2.41793728 2, 15 -0.312606812 -0.443142116 2.33296824 2, 16 -0.171653152 0.362370789 2.32002211 2, 17 -0.142372906 0.0278504398 2.33349967 2, 18 -0.140197575 -0.351362675 2.40726018 2, 19 -0.114703596 -0.448497832 2.31634402 2, 20 -0.25143531 0.926884294 2.3225739 2, 21 -0.421186894 0.236677542 2.26461864 2, 22 -0.470319122 0.303178996 2.25310946 2, 23 0.41875574 0.459806949 2.20608044 2, 24 0.356507599 0.442191601 2.23513317 2, 0 0.0792290866 -0.000810606522 0.996744573 -0.0149114793, 1 0.0581194125 -0.000494885957 0.998197973 -0.0149252927, 2 0.0366016291 0.001747648 0.998145461 -0.0486100204, 3 0 0 0 0, 4 -0.0269134734 0.803552806 -0.590976834 0.0657642931, 5 -0.00924007874 0.921657145 -0.111798488 -0.371434838, 6 0.0307530444 -0.605717242 -0.119151786 0.786106646, 7 -0.104932293 -0.624497712 -0.0813106298 0.769662499, 8 0.0189375319 0.795480788 0.605628371 -0.00812252983, 9 -0.369061977 0.408688009 0.132723361 0.824106634, 10 -0.349876106 -0.353597552 -0.271528602 0.823909998, 11 -0.314051658 -0.355080724 -0.260777473 0.841001987, 12 -0.196802825 0.69263643 -0.655891478 0.226560757, 13 0.0707941428 0.757176638 -0.040591836 -0.648092687, 14 -0.0752923042 -0.621985376 0.0528097488 0.777609468, 15 0 0 0 0, 16 -0.0957946107 0.72257328 0.67340368 -0.123445109, 17 -0.0201348737 0.648544908 0.0435853861 0.759660661, 18 0.0574532412 0.619273543 0.0768451914 0.779290915, 19 0 0 0 0, 20 0.0365794674 0.000284604292 0.998906255 -0.0291231461, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
1, 1, 0, 0, 1, 72057594037940400, 0 -0.252306074 0.368729442 2.34592199 2, 1 -0.252074271 0.692329288 2.33624482 2, 2 -0.250916958 1.00246394 2.31522059 2, 3 -0.22224018 1.13744915 2.29555702 2, 4 -0.411921412 0.875906646 2.30196261 2, 5 -0.466200441 0.627865374 2.31898189 2, 6 -0.44100678 0.372513235 2.25996852 2, 7 -0.426584005 0.319617957 2.26032472 2, 8 -0.0649500564 0.875464559 2.3264358 2, 9 0.104235165 0.712080657 2.30689573 2, 10 0.281754524 0.571761549 2.26063323 2, 11 0.356803209 0.500855982 2.23673034 2, 12 -0.324810624 0.363233536 2.29550648 2, 13 -0.314805567 0.036733795 2.34837985 2, 14 -0.29443872 -0.353096068 2.4179647 2, 15 -0.312598914 -0.443130523 2.33294702 2, 16 -0.171650663 0.3623752 2.32002711 2, 17 -0.142343044 0.0278003551 2.33350825 2, 18 -0.140533507 -0.351652235 2.40738893 2, 19 -0.117236182 -0.447606772 2.31839013 2, 20 -0.251447529 0.926879108 2.32257938 2, 21 -0.418664545 0.236352921 2.26511168 2, 22 -0.469046414 0.317329764 2.25055552 2, 23 0.417550266 0.459132522 2.22004461 2, 24 0.355054349 0.443617821 2.23845243 2, 0 0.0791701376 -0.000826598844 0.996748924 -0.0149287805, 1 0.0581186041 -0.000511380029 0.998197675 -0.0149428984, 2 0.036658816 0.00171466568 0.998143852 -0.0486018211, 3 0 0 0 0, 4 -0.0271418095 0.803676546 -0.59077853 0.0659397095, 5 -0.00893766526 0.921517909 -0.112124451 -0.371689349, 6 0.030174803 -0.602021575 -0.119017668 0.788983107, 7 -0.105515994 -0.620657027 -0.0805432349 0.772763848, 8 0.0187824257 0.795481801 0.605630636 -0.00821593218, 9 -0.368989557 0.409265757 0.133063957 0.823797405, 10 -0.351677269 -0.348026484 -0.269351512 0.826226652, 11 -0.311489046 -0.347529173 -0.261617452 0.844839811, 12 -0.196787983 0.692627847 -0.655909598 0.22654745, 13 0.0707591251 0.757143378 -0.0406048298 -0.64813441, 14 -0.0751848295 -0.622034848 0.0526988022 0.777587771, 15 0 0 0 0, 16 -0.0958246365 0.722595096 0.673362434 -0.123519041, 17 -0.0201564562 0.648589134 0.0436098129 0.759621024, 18 0.0584429763 0.624943972 0.0761965886 0.774740994, 19 0 0 0 0, 20 0.0366371088 0.000267080701 0.998904169 -0.0291234851, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
1, 1, 0, 0, 1, 72057594037940400, 0 -0.252405673 0.368749291 2.34596181 2, 1 -0.252122641 0.69236362 2.33617973 2, 2 -0.250905067 1.00254607 2.31494164 2, 3 -0.222281635 1.13751554 2.29551244 2, 4 -0.411917567 0.875885725 2.30197644 2, 5 -0.466189742 0.627889216 2.31898761 2, 6 -0.441132039 0.373795271 2.26040888 2, 7 -0.426364005 0.318884552 2.25923228 2, 8 -0.064950712 0.875507057 2.32637215 2, 9 0.10425467 0.712068856 2.30670714 2, 10 0.281888247 0.571744561 2.26029086 2, 11 0.3567698 0.500940681 2.23543763 2, 12 -0.324879736 0.363243431 2.29551339 2, 13 -0.314849794 0.0368721783 2.34830379 2, 14 -0.294476032 -0.353225708 2.41786408 2, 15 -0.312509 -0.443196028 2.33315086 2, 16 -0.171774149 0.362396389 2.32009387 2, 17 -0.142287165 0.0271050315 2.33353305 2, 18 -0.13976258 -0.350443304 2.40655112 2, 19 -0.115266092 -0.448396116 2.31652594 2, 20 -0.251457691 0.926944435 2.32236624 2, 21 -0.423194081 0.239303932 2.2695272 2, 22 -0.469365984 0.304647863 2.25118971 2, 23 0.420680165 0.461287439 2.21113348 2, 24 0.355373621 0.442313105 2.23484421 2, 0 0.0793880001 -0.000763809658 0.996729195 -0.0150956195, 1 0.0581659339 -0.00044249752 0.998192489 -0.0151084512, 2 0.036532294 0.00184966752 0.998127401 -0.0490263849, 3 0 0 0 0, 4 -0.0264543369 0.803857148 -0.590583503 0.0657649711, 5 -0.0088966107 0.921691418 -0.11213018 -0.37125805, 6 0.0291908775 -0.596470833 -0.119003803 0.7932266, 7 -0.0963644609 -0.613950968 -0.0893022045 0.778333604, 8 0.0192907732 0.79551065 0.605576336 -0.00824907608, 9 -0.369151175 0.408683151 0.132526428 0.824100792, 10 -0.334673285 -0.397342384 -0.290464938 0.803581357, 11 -0.292722881 -0.3963162 -0.283485889 0.822728693, 12 -0.196827263 0.692569554 -0.65585345 0.226853877, 13 0.0707258806 0.757284582 -0.0404963121 -0.647979975, 14 -0.0751368925 -0.62225312 0.0526135713 0.777423561, 15 0 0 0 0, 16 -0.095662348 0.722596049 0.673381269 -0.123536609, 17 -0.0203659534 0.648416638 0.0436370336 0.759760976, 18 0.0570613593 0.62241751 0.0764926448 0.776845694, 19 0 0 0 0, 20 0.0365089141 0.000340529339 0.998899698 -0.0294367261, 21 0 0 0 0, 22 0 0 0 0, 23 0 0 0 0, 24 0 0 0 0
